trial,status,valid_loss,best_epoch,stopped_epoch,final_lr,latent_dim,koopman_dim,lrelu_alpha,dropout_rate,regularize_coef,low_rank,learning_rate,error
1,ok,1.314197301864624,971,1000,1e-06,256,128,0.15382557588022425,0.24296384828140632,0.0,0.9917316097453347,0.0011367010625127438,
2,ok,0.7533301115036011,983,1000,3.402318643315225e-05,256,64,0.00463432459840004,0.14091892219985191,0.2809812312103895,0.9755048399953067,0.0003402318643315225,
3,ok,5.037936687469482,972,1000,1.7760251149258202e-05,128,32,0.09270265016222874,0.34199196595772063,0.023932633467253602,0.9471670572737261,1.7760251149258202e-05,
4,ok,2.580444097518921,995,1000,4.418461129833084e-05,256,64,0.15516601762986812,0.23850488827635852,0.300653538394288,0.9864444617843868,4.418461129833084e-05,
5,ok,0.647225022315979,943,1000,3.53882653894502e-05,512,16,0.05931524177131708,0.3551267118187434,0.0,0.9784262711863854,0.000353882653894502,
6,ok,0.7509883046150208,982,1000,1e-06,512,128,0.025743730819827455,0.35182127308276007,9.972655658526267e-05,0.9062921289986938,0.0018688187354218059,
7,ok,0.8117921352386475,845,1000,0.00014712867342194308,64,16,0.006200491802683562,0.045607976915112924,7.160879463290652e-06,0.9992228332010914,0.0014712867342194307,
8,ok,2.508699655532837,987,1000,3.18680601161309e-05,256,16,0.0002582283455562073,0.16637525638366807,5.578841656602714e-05,0.9921327481245572,3.18680601161309e-05,
9,ok,1.0970726013183594,980,1000,5.238191617899366e-05,512,256,0.009297385018421834,0.19245057298633023,0.00046766423445711064,0.9575075363150723,5.238191617899366e-05,
10,ok,1.343183159828186,990,1000,4.8004455246466795e-05,64,16,0.17350015939797486,0.13002810432214656,0.0,0.9069016163235415,0.0004800445524646679,
11,ok,5.010541915893555,876,1000,1e-06,64,16,0.09223514076511558,0.4615412199100884,0.11343872558727879,0.9540059325023107,9.31725030700979e-05,
12,ok,1.7745271921157837,796,1000,1.0938612226850635e-06,512,64,0.0005133173343689899,0.3397371790923222,2.5882749651808685e-05,0.9824438035374993,0.00010938612226850634,
13,ok,5.334705352783203,982,1000,1e-06,128,128,0.020486391050477424,0.4912301927556287,0.007033653138917927,0.9357010178434034,6.359045947099164e-05,
14,failed,inf,0,0,0.0005587218447284724,32,32,0.00042505612922353697,0.008104513330344898,0.00010271239807182449,0.9270766921475657,0.0005587218447284724,_LinAlgError('linalg.svd: The algorithm failed to converge because the input matrix contained non-finite values.')
15,ok,5.64681339263916,999,1000,1.2943456573452495e-05,128,32,0.00021483668478867397,0.07317924445615193,0.07861014171464285,0.9696972969551048,1.2943456573452495e-05,
16,ok,2.191798686981201,970,1000,1.9792479299778573e-05,512,256,0.00025750902778688434,0.09426031115032141,2.77959400011224e-06,0.982925604508353,1.9792479299778573e-05,
17,ok,6.200235843658447,291,591,1e-06,32,32,0.00997211844855009,0.09729547784116593,4.969089628473759e-06,0.9969721221341096,0.0006009713718874136,
18,ok,0.7699808478355408,987,1000,1e-06,256,32,0.017480162588955978,0.2721177057386146,2.3254626852214983e-06,0.9619979371006777,0.0011766091868447984,
19,ok,5.066173553466797,996,1000,0.0001435954544763141,32,16,0.00098585526666348,0.21803432397662809,0.0,0.9060981396780408,0.0001435954544763141,
20,ok,0.9125702977180481,424,724,1.718371219090011e-06,512,16,0.0007222834687177693,0.45219931651502215,0.00022266767928350053,0.9469745945136907,0.0017183712190900111,
21,ok,2.8042545318603516,995,1000,2.518719877393708e-05,512,32,0.03412242550626907,0.3943241450049049,1.6614532081041784e-05,0.9158050421197558,2.518719877393708e-05,
22,ok,0.6855549216270447,969,1000,1e-06,512,64,0.11006006340780093,0.33280291100896703,0.0,0.9013190554776443,0.0004870963126742228,
23,ok,0.665061354637146,950,1000,1e-06,512,256,0.0019183140214148685,0.3288080999662454,0.007827100800426702,0.9153259358160493,0.0005143417009617492,
24,ok,1.3207595348358154,995,1000,7.455991854434812e-05,256,16,0.0008456755029215695,0.12006520391317699,1.8800913937487757e-06,0.9952176210487971,7.455991854434812e-05,
25,ok,0.6703954339027405,909,1000,0.0007146448776510811,128,64,0.06581650865218086,0.06617214052237325,0.2247301018014572,0.9309987283882717,0.0007146448776510811,
26,ok,2.1677086353302,836,1000,5.749406611538883e-06,32,16,0.00033761998967741624,0.11154891042932641,0.015541614553555886,0.9447687191317002,0.0005749406611538883,
27,ok,0.9785359501838684,891,1000,1e-06,512,128,0.07541693351328543,0.2837361708962416,0.0,0.9771413532268507,0.0005705502723411796,
28,ok,1.221423625946045,979,1000,0.00017755169812598947,64,32,0.020688352691367647,0.22318235608776332,0.0,0.9884060562489765,0.0017755169812598945,
29,ok,0.6706556081771851,477,777,1.470691400287655e-06,512,16,0.0010717997016513718,0.23344611767626178,0.0009278889914567393,0.9808236811503002,0.0014706914002876547,
30,ok,5.312617301940918,993,1000,1.087642649784073e-05,256,32,0.16993964334230544,0.41872419687194506,0.6001041462321435,0.9130391230090221,1.087642649784073e-05,
31,ok,2.036574602127075,964,1000,4.72002347936277e-06,256,64,0.00011147463441380309,0.3773769103078453,0.0,0.9979264398022806,0.00047200234793627686,
32,ok,1.70498788356781,996,1000,2.8273779830161636e-05,512,16,0.0004521770432899371,0.15120802178972487,0.004468459625863489,0.9687851464029675,2.8273779830161636e-05,
33,ok,3.895622730255127,893,1000,1e-06,256,128,0.10393192270585139,0.3999122783256379,1.3522998361900693e-06,0.9115663619440039,4.318707459719596e-05,
34,ok,3.2530665397644043,995,1000,3.2331985552803816e-05,512,64,0.00032345325374298156,0.4256198742187557,0.0,0.9042255304400791,3.2331985552803816e-05,
35,ok,0.7558630108833313,985,1000,5.46093003124897e-05,128,64,0.10079663369147011,0.02100226598367061,0.4272015289997959,0.9748385688567472,0.0005460930031248969,
36,ok,2.935570240020752,980,1000,1.0520567110104065e-05,256,128,0.005966491834874541,0.10392205184541237,0.00017167046275708717,0.9586538379190448,1.0520567110104065e-05,
37,ok,6.3141584396362305,995,1000,1.2649247842207151e-05,64,32,0.023539007454414704,0.1691279850133393,0.054668726043289026,0.9619917570208235,1.2649247842207151e-05,
38,ok,3.434999704360962,992,1000,0.00015283546867774305,64,16,0.002010111637370821,0.2742421482862567,5.4599054473335236e-05,0.929311359445588,0.00015283546867774305,
39,ok,4.849265098571777,982,1000,5.510840708951379e-05,64,16,0.025429099761811687,0.15133533031928964,0.13874568244889576,0.9834724175924004,5.510840708951379e-05,
40,ok,6.34745454788208,265,565,1e-06,32,16,0.0012963222893211546,0.3989371805497611,0.000770963436373353,0.9811516332896858,2.032205441463284e-05,
